mA,O2frac,mm,slm,Vdis,diluted,NO,NO2,HONO,number,R2
20.0,0.0196078431372549,2.0,0.5,0.552,0.0,208.80795576533333,8.901427968601112,0.12488807301774868,5.0,0.7405379920704445
20.0,0.0196078431372549,2.0,1.0,0.547,0.0,84.0028065894889,3.9680628587344438,2.241469352788667,5.0,0.881644691528889
20.0,0.0196078431372549,2.0,3.0,0.5539999999999999,0.0,54.08782833862222,3.645636160424444,3.7100603239477783,5.0,0.6783902707267777
20.0,0.0196078431372549,5.0,0.5,0.85,0.0,651.4118782933334,30.844484820222224,9.414372060973669,5.0,0.6618879761932221
20.0,0.0196078431372549,5.0,1.0,0.88,0.0,322.28085618375,6.8296617288875,1.370544239912346,4.5,0.7698340208440001
20.0,0.0196078431372549,5.0,3.0,0.875,0.0,109.42236129428888,4.089475330357778,6.350992214531695,5.0,0.9020784310007777
20.0,0.0196078431372549,5.0,5.0,0.914,0.0,61.34729647376667,2.321996813743333,4.919732055297517,4.5,0.7885455897385
20.0,0.0196078431372549,8.0,0.5,1.11,0.0,1011.0193559908889,48.20262261171112,7.458220008244556,5.0,0.951858201294
20.0,0.0196078431372549,8.0,1.0,1.11,0.0,597.1168820417499,16.3596859428375,0.534282228389779,5.0,0.92575785659125
20.0,0.0196078431372549,8.0,3.0,1.19,0.0,287.358271583875,8.389951694679999,22.102940323575,5.0,0.9006101040483749
20.0,0.0196078431372549,8.0,5.0,1.25,0.0,106.6671117713125,2.5648757912987503,3.2803064443146753e-07,4.5,0.771415608059375
20.0,0.0196078431372549,12.0,0.5,1.48,0.0,484.3833267707778,10.930595254477776,1.044502565015996e-05,5.0,0.932489515627
20.0,0.0196078431372549,12.0,1.0,1.48,0.0,567.220350445,14.05883110255,3.276990864310474e-07,5.5,0.8993900088047501
20.0,0.0196078431372549,12.0,3.0,1.63,0.0,321.0207174608888,8.978303942286667,7.791236622613634e-07,5.0,0.9315988927791109
20.0,0.0196078431372549,15.0,0.5,1.64,0.0,1895.288875648889,112.493168428,4.678976954160778e-08,5.0,0.9605538492662221
20.0,0.0196078431372549,15.0,1.0,1.72,0.0,710.4538739607777,19.423410620877775,3.8550232763584638,5.0,0.9386935154764444
20.0,0.0196078431372549,15.0,3.0,1.88,0.0,362.66646584044446,9.806395538591111,2.8604051544155555,5.0,0.930602568001778
20.0,0.09090909090909093,2.0,0.5,0.546,0.0,487.00227352655554,26.350335033222226,10.007529480765555,5.0,0.9515321951951113
20.0,0.09090909090909093,2.0,1.0,0.546,0.0,310.32816309866666,20.305890242777778,3.2908548845422225,5.0,0.9557027208913333
20.0,0.09090909090909093,2.0,3.0,0.552,0.0,105.20553105888888,4.472711093081112,2.8470159828922217,5.0,0.6945962110832222
20.0,0.09090909090909093,2.0,5.0,0.5589999999999999,0.0,34.975374451,1.12373913338,8.24637975228e-11,1.0,0.503932859513
20.0,0.09090909090909093,2.0,7.0,0.5720000000000001,0.0,50.983903426279994,2.367668131268,2.2037715628399996,3.8,0.6946295485746
20.0,0.09090909090909093,5.0,0.5,0.8290000000000001,0.0,940.909855541889,130.72606817922224,5.576007201696653,5.0,0.9833386060738888
20.0,0.09090909090909093,5.0,1.0,0.833,0.0,575.6832727633333,30.028138577955556,1.0908182257816168,5.0,0.9421381655875556
20.0,0.09090909090909093,5.0,3.0,0.87,0.0,254.37282178577777,6.958555298868888,0.4071228853964587,5.0,0.8388403612995554
20.0,0.09090909090909093,5.0,5.0,0.91,0.0,157.84048905722224,3.329539895052222,3.7806330487291495,5.0,0.7918766983014446
20.0,0.09090909090909093,5.0,7.0,0.988,0.0,109.79715085456667,2.8997484784855554,2.7052340960224956,5.0,0.827475731990111
20.0,0.09090909090909093,8.0,0.5,1.23,0.0,1342.3129642176923,228.27430637838464,22.250191789146154,7.0,0.989295016006846
20.0,0.09090909090909093,8.0,1.0,1.13,0.0,935.3510487275556,100.50387746431112,4.097981927910567e-09,5.0,0.9672485829347779
20.0,0.09090909090909093,8.0,3.0,1.21,0.0,462.8929770933333,25.608977037811112,4.030908985338889,5.0,0.937605883492778
20.0,0.09090909090909093,8.0,5.0,1.3,0.0,284.5266943043333,11.060190816422223,5.9035291767033335,5.0,0.9423064919116667
20.0,0.09090909090909093,8.0,7.0,1.39,0.0,223.17334662588894,7.573053680854445,7.111677959243333,5.0,0.9375561461611112
20.0,0.09090909090909093,12.0,0.5,1.44,0.0,2399.11772686125,848.6277860971251,140.91565701575,4.875,0.99579494631725
20.0,0.09090909090909093,12.0,1.0,1.48,0.0,1861.7570737699998,332.028968816,17.898723429455554,5.0,0.9904734244673333
20.0,0.09090909090909093,12.0,3.0,1.6,0.0,776.7907893267778,46.11990909191111,1.098931005380001e-11,5.0,0.9546213466468889
20.0,0.09090909090909093,15.0,0.5,1.64,0.0,2692.4087383344445,1054.2523470766666,238.41257424588892,5.0,0.9956206471811113
20.0,0.09090909090909093,15.0,1.0,1.68,0.0,2073.114756354444,400.01576350588886,31.284507259933335,5.0,0.9917056365045556
20.0,0.09090909090909093,15.0,3.0,1.9,0.0,904.3936363667779,53.47476990142221,2.4869318981677777,5.0,0.9573398886136667
20.0,0.2095,2.0,0.5,0.539,0.0,527.0482174195555,101.58512175422223,1.0042237561648317e-07,5.0,0.9843396062992222
20.0,0.2095,2.0,1.0,0.546,0.0,326.634813505,42.84009972312222,3.2105908541566657,5.0,0.9806431001985556
20.0,0.2095,2.0,3.0,0.54,0.0,137.18057934633336,9.523292845413332,0.3300717813040207,5.0,0.9298732384395557
